"term","beta","l.95","h.95","l.89","h.89","l.67","h.67"
"Intercept",16.7159283066048,15.4238953047126,18.0079612526227,15.669142305157,17.7627143495078,16.0826085433763,17.3492480785348
"6",-1.10588856882939,-2.32061295021413,0.108835811465958,-2.09373483257767,-0.118042305080629,-1.70597486134802,-0.505802276179715
"12",-4.09547991697618,-5.3102042983609,-2.88075553668082,-5.08332618072447,-3.10763365322743,-4.69556620949482,-3.49539362432655
"24",-6.77935052442943,-7.99407490581418,-5.56462614413408,-7.76719678817773,-5.7915042606807,-7.37943681694808,-6.1792642317798
"1 dpi",3.60749523811327,2.39277085672851,4.8222196184086,2.61964897436498,4.59534150186202,3.00740894559468,4.20758153076295
"2 dpi",0.00795441347927131,-1.20676996790545,1.22267879377462,-0.979891850269001,0.995800677228022,-0.592131879039379,0.6080407061289
"3 dpi",-3.97408420383348,-5.18880858521822,-2.75935982353812,-4.96193046758177,-2.98623794008473,-4.57417049635213,-3.37399791118385
