Treatment,Timepoint,Replicate,BIM_mix,Escape_phage,Tracked_BIM,SM_count,CRISPR_count,BIM_count,white_count,dilution,SM_CFU,CRISPR_CFU,BIM_CFU,white_CFU,total_CFU,mSM,mCRISPR,mBIM,rCRISPR,rBIM
1,1,17,17,17,17,19,1,1,NA,1.00E+06,1.90E+08,1.00E+07,1.00E+07,0,2.00E+08,2.375663614,1.045757491,1.045757491,-1.329906123,-1.329906123
1,1,18,18,18,18,26,0,0,NA,1.00E+06,2.60E+08,1,1,0,2.60E+08,2.373580663,-6.146128036,-6.146128036,-8.519708698,-8.519708698
1,1,19,19,19,19,16,3,3,NA,1.00E+06,1.60E+08,3.00E+07,3.00E+07,0,1.90E+08,2.162727297,1.698970004,1.698970004,-0.463757293,-0.463757293
1,1,20,20,20,20,7,0,0,NA,1.00E+06,7.00E+07,1,1,0,7.00E+07,1.640978057,-5.698970004,-5.698970004,-7.339948062,-7.339948062
1,1,21,21,21,21,15,1,1,NA,1.00E+06,1.50E+08,1.00E+07,1.00E+07,0,1.60E+08,1.920818754,0.958607315,0.958607315,-0.962211439,-0.962211439
1,1,22,22,22,22,18,0,0,NA,1.00E+06,1.80E+08,1,1,0,1.80E+08,2.176091259,-6.079181246,-6.079181246,-8.255272505,-8.255272505
1,1,23,23,23,23,14,1,1,NA,1.00E+06,1.40E+08,1.00E+07,1.00E+07,0,1.50E+08,2.191885526,0.958607315,0.958607315,-1.233278211,-1.233278211
1,1,24,24,24,24,26,4,4,NA,1.00E+06,2.60E+08,4.00E+07,4.00E+07,0,3.00E+08,2.636822098,2,2,-0.636822098,-0.636822098
1,2,1,1,1,1,176,13,13,NA,1.00E+06,1.76E+09,1.30E+08,1.30E+08,0,1.89E+09,0.460182833,8.113943352,8.113943352,7.65376052,7.65376052
1,2,2,2,2,2,57,2,2,NA,1.00E+06,5.70E+08,2.00E+07,2.00E+07,0,5.90E+08,0,0,0,0,0
1,2,3,3,3,3,41,1,1,NA,1.00E+06,4.10E+08,1.00E+07,1.00E+07,0,4.20E+08,-0.103219487,-0.698970004,-0.698970004,-0.595750517,-0.595750517
1,2,4,4,4,4,26,0,0,NA,1.00E+06,2.60E+08,1,1,0,2.60E+08,-0.309302522,-7.477121255,-7.477121255,-7.167818733,-7.167818733
1,2,5,5,5,5,51,1,1,NA,1.00E+06,5.10E+08,1.00E+07,1.00E+07,0,5.20E+08,-0.517739106,-0.77815125,-0.77815125,-0.260412145,-0.260412145
1,2,6,6,6,6,19,0,0,NA,1.00E+06,1.90E+08,1,1,0,1.90E+08,-0.762639084,-7.77815125,-7.77815125,-7.015512166,-7.015512166
1,2,7,7,7,7,83,4,4,NA,1.00E+06,8.30E+08,4.00E+07,4.00E+07,0,8.70E+08,-0.390552075,0,0,0.390552075,0.390552075
1,2,8,8,8,8,118,10,10,NA,1.00E+06,1.18E+09,1.00E+08,1.00E+08,0,1.28E+09,0.656908659,0.397940009,0.397940009,-0.258968651,-0.258968651
1,2,9,9,9,9,23,7,7,NA,1.00E+06,2.30E+08,7.00E+07,7.00E+07,0,3.00E+08,-0.620543397,0.84509804,0.84509804,1.465641437,1.465641437
1,2,10,10,10,10,44,5,5,NA,1.00E+06,4.40E+08,5.00E+07,5.00E+07,0,4.90E+08,0.439332694,0.397940009,0.397940009,-0.041392685,-0.041392685
1,2,11,11,11,11,15,1,1,NA,1.00E+06,1.50E+08,1.00E+07,1.00E+07,0,1.60E+08,0.397940009,7,7,6.602059991,6.602059991
1,2,12,12,12,12,324,48,48,NA,1.00E+06,3.24E+09,4.80E+08,4.80E+08,0,3.72E+09,1.130333768,1.681241237,1.681241237,0.550907469,0.550907469
1,2,13,13,13,13,29,1,1,NA,1.00E+06,2.90E+08,1.00E+07,1.00E+07,0,3.00E+08,-0.253605346,-0.301029996,-0.301029996,-0.04742465,-0.04742465
1,2,14,14,14,14,20,1,1,NA,1.00E+06,2.00E+08,1.00E+07,1.00E+07,0,2.10E+08,-0.217483944,-0.477121255,-0.477121255,-0.259637311,-0.259637311
1,2,15,15,15,15,34,7,7,NA,1.00E+06,3.40E+08,7.00E+07,7.00E+07,0,4.10E+08,-0.176091259,0.243038049,0.243038049,0.419129308,0.419129308
1,2,16,16,16,16,62,4,4,NA,1.00E+06,6.20E+08,4.00E+07,4.00E+07,0,6.60E+08,0.111150452,0.124938737,0.124938737,0.013788284,0.013788284
1,2,17,17,17,17,21,5,5,NA,1.00E+06,2.10E+08,5.00E+07,5.00E+07,0,2.60E+08,0.043465694,0.698970004,0.698970004,0.655504311,0.655504311
1,2,18,18,18,18,47,3,3,NA,1.00E+06,4.70E+08,3.00E+07,3.00E+07,0,5.00E+08,0.25712451,7.477121255,7.477121255,7.219996745,7.219996745
1,2,19,19,19,19,17,10,10,NA,1.00E+06,1.70E+08,1.00E+08,1.00E+08,0,2.70E+08,0.026328939,0.522878745,0.522878745,0.496549807,0.496549807
1,2,20,20,20,20,28,2,2,NA,1.00E+06,2.80E+08,2.00E+07,2.00E+07,0,3.00E+08,0.602059991,7.301029996,7.301029996,6.698970004,6.698970004
1,2,21,21,21,21,27,2,2,NA,1.00E+06,2.70E+08,2.00E+07,2.00E+07,0,2.90E+08,0.255272505,0.301029996,0.301029996,0.045757491,0.045757491
1,2,22,22,22,22,12,1,1,NA,1.00E+06,1.20E+08,1.00E+07,1.00E+07,0,1.30E+08,-0.176091259,7,7,7.176091259,7.176091259
1,2,23,23,23,23,32,3,3,NA,1.00E+06,3.20E+08,3.00E+07,3.00E+07,0,3.50E+08,0.359021943,0.477121255,0.477121255,0.118099312,0.118099312
1,2,24,24,24,24,24,0,0,NA,1.00E+06,2.40E+08,1,1,0,2.40E+08,-0.034762106,-7.602059991,-7.602059991,-7.567297885,-7.567297885
1,3,1,1,1,1,23,1,1,NA,1.00E+06,2.30E+08,1.00E+07,1.00E+07,0,2.40E+08,-0.883784832,-1.113943352,-1.113943352,-0.230158521,-0.230158521
