"Treatment","Timepoint","Replicate","BIM_mix","Escape_phage","Tracked_BIM","total_CFU","Strain","Titre"
"24","0","3","1-24",7,"7",2100000,"PFU",1e+06
"24","0","4","1-24",10,"10",3e+06,"PFU",1e+06
"24","0","5","1-24",13,"13",1900000,"PFU",1e+06
"24","0","6","1-24",16,"19",2300000,"PFU",240000
"24","0","7","1-24",19,"19",2800000,"PFU",1200000
"24","0","8","1-24",22,"22",2600000,"PFU",1e+06
"24","1","1","1-24",1,"1",8.5e+08,"PFU",1600000
"24","1","2","1-24",4,"4",9.9e+08,"PFU",1400000
"24","1","3","1-24",7,"7",1.07e+09,"PFU",1e+06
"24","1","4","1-24",10,"10",8e+08,"PFU",5e+05
"24","1","5","1-24",13,"13",7.1e+08,"PFU",3800000
"24","1","6","1-24",16,"19",6.6e+08,"PFU",1400000
"24","1","7","1-24",19,"19",4.2e+08,"PFU",1400000
"24","1","8","1-24",22,"22",8.2e+08,"PFU",1600000
"24","2","1","1-24",1,"1",1.32e+09,"PFU",14000
"24","2","2","1-24",4,"4",1.3e+09,"PFU",26000
"24","2","3","1-24",7,"7",1.38e+09,"PFU",14000
"24","2","4","1-24",10,"10",1.4e+09,"PFU",2200
"24","2","5","1-24",13,"13",2.36e+09,"PFU",34000
"24","2","6","1-24",16,"16",1.2e+09,"PFU",18000
"24","2","7","1-24",19,"19",1.93e+09,"PFU",4800
"24","2","8","1-24",22,"22",1.55e+09,"PFU",5000
"24","3","1","1-24",1,"1",5.3e+08,"PFU",40
"24","3","2","1-24",4,"4",9.3e+08,"PFU",0
"24","3","3","1-24",7,"7",7.5e+08,"PFU",0
"24","3","4","1-24",10,"10",3e+08,"PFU",20
"24","3","5","1-24",13,"13",8.8e+08,"PFU",800
"24","3","6","1-24",16,"16",4.2e+08,"PFU",200
"24","3","7","1-24",19,"19",6.4e+08,"PFU",0
"24","3","8","1-24",22,"22",7.48e+09,"PFU",0
