Treatment,Timepoint,Replicate,BIM_mix,Escape_phage,Tracked_BIM,total_CFU,Strain,Titre
1_control,0,2,2,ancestral,2,2500000,PFU,4.00E+05
1_control,0,3,3,ancestral,3,3400000,PFU,120000
1_control,0,4,4,ancestral,4,3100000,PFU,1400000
1_control,0,5,5,ancestral,5,5500000,PFU,1400000
1_control,0,6,6,ancestral,6,3200000,PFU,1600000
1_control,0,7,7,ancestral,7,5600000,PFU,1.00E+06
1_control,0,8,8,ancestral,8,4.00E+06,PFU,6.00E+05
1_control,0,9,9,ancestral,9,2400000,PFU,1.00E+06
1_control,0,10,10,ancestral,10,2500000,PFU,1.00E+06
1_control,0,11,11,ancestral,11,2300000,PFU,1.00E+06
1_control,0,12,12,ancestral,12,3300000,PFU,1.00E+06
1_control,0,13,13,ancestral,13,3900000,PFU,4.00E+05
1_control,0,14,14,ancestral,14,2400000,PFU,240000
1_control,0,15,15,ancestral,15,4900000,PFU,420000
1_control,0,16,16,ancestral,16,4400000,PFU,4.00E+05
1_control,0,17,17,ancestral,17,2200000,PFU,360000
1_control,0,18,18,ancestral,18,4800000,PFU,1400000
1_control,0,19,19,ancestral,19,2200000,PFU,1400000
1_control,0,20,20,ancestral,20,2900000,PFU,6.00E+05
1_control,0,21,21,ancestral,21,2200000,PFU,1600000
1_control,0,22,22,ancestral,22,3.00E+06,PFU,420000
1_control,0,23,23,ancestral,23,3.00E+06,PFU,440000
1_control,0,24,24,ancestral,24,1.00E+06,PFU,1.00E+06
1_control,1,1,1,ancestral,1,8.60E+08,PFU,2000
1_control,1,2,2,ancestral,2,2.30E+08,PFU,1200
1_control,1,3,3,ancestral,3,4.10E+08,PFU,5.00E+05
1_control,1,4,4,ancestral,4,7.60E+08,PFU,2.40E+08
1_control,1,5,5,ancestral,5,5.40E+08,PFU,2000
1_control,1,6,6,ancestral,6,3.00E+08,PFU,2200000
1_control,1,7,7,ancestral,7,2.00E+08,PFU,3.20E+07
1_control,1,8,8,ancestral,8,5.10E+08,PFU,2.40E+07
1_control,1,9,9,ancestral,9,2.20E+08,PFU,2.00E+07
1_control,1,10,10,ancestral,10,2.70E+08,PFU,1800000
1_control,1,11,11,ancestral,11,3.00E+08,PFU,10000
1_control,1,12,12,ancestral,12,4.10E+08,PFU,1600000
1_control,1,13,13,ancestral,13,2.60E+08,PFU,2200000
1_control,1,14,14,ancestral,14,4.40E+08,PFU,2.00E+05
1_control,1,15,15,ancestral,15,3.20E+08,PFU,1.60E+08
1_control,1,16,16,ancestral,16,3.50E+08,PFU,50000
1_control,1,17,17,ancestral,17,3.60E+08,PFU,340000
1_control,1,18,18,ancestral,18,4.00E+08,PFU,1.40E+07
1_control,1,19,19,ancestral,19,2.20E+08,PFU,2.00E+06
1_control,1,20,20,ancestral,20,5.00E+08,PFU,1200
1_control,1,21,21,ancestral,21,1.50E+08,PFU,3.20E+08
1_control,1,22,22,ancestral,22,3.20E+08,PFU,30000
1_control,1,23,23,ancestral,23,2.80E+08,PFU,1.60E+07
1_control,1,24,24,ancestral,24,4.10E+08,PFU,1400000
1_control,2,1,1,ancestral,1,1.01E+09,PFU,10000
1_control,2,2,2,ancestral,2,1.02E+09,PFU,1400
1_control,2,3,3,ancestral,3,9.20E+08,PFU,1.60E+09
1_control,2,4,4,ancestral,4,2.18E+09,PFU,1.60E+09
1_control,2,5,5,ancestral,5,9.60E+08,PFU,2600
1_control,2,6,6,ancestral,6,2.90E+08,PFU,2.00E+09
1_control,2,7,7,ancestral,7,2.30E+08,PFU,1.40E+09
